      No     Day     Mon    Year  Qobs_0009304070  Qsim_0009304070
     601      23       8    1956        5.6300000        4.3910947
     602      24       8    1956        5.6300000        4.3303920
     603      25       8    1956        5.4200000        4.5071057
     604      26       8    1956        5.2100000        4.8755482
     605      27       8    1956        5.2100000        4.6334076
     606      28       8    1956        5.6300000        4.5764562
     607      29       8    1956        5.8500000        4.9345589
     608      30       8    1956        5.6300000        4.9792546
     609      31       8    1956        5.4200000        5.1964962
     610       1       9    1956        5.2100000        5.3676255
     611       2       9    1956        5.4200000        4.9433271
     612       3       9    1956        5.4200000        4.7246616
     613       4       9    1956        5.4200000        4.5746868
     614       5       9    1956        5.6300000        4.4455178
     615       6       9    1956        5.2100000        4.3348691
     616       7       9    1956        4.6100000        4.2286129
     617       8       9    1956        4.4200000        4.1188148
     618       9       9    1956        4.6100000        4.0215484
     619      10       9    1956        5.0100000        3.9287148
     620      11       9    1956        4.6100000        3.8445965
     621      12       9    1956        5.2100000        4.0759885
     622      13       9    1956        5.0100000        4.5605404
     623      14       9    1956        5.0100000        4.4500836
     624      15       9    1956        4.8100000        4.2475507
     625      16       9    1956        4.6100000        4.1237206
     626      17       9    1956        4.6100000        3.9961165
     627      18       9    1956        4.4200000        3.8835764
